property_url,mls,mls_id,status,text,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,agent,broker,broker_phone,nearby_schools,primary_photo,alt_photos
https://www.realtor.com/realestateandhomes-detail/M3609843245?listing_status=rental,LINY,H6303297,FOR_RENT,"Enter into a beautiful oasis located in one of the most desirable neighborhoods in the Bronx. Located in Pelham Parkway, this elegant 1 bedroom unit in comes with redone flooring, an updated kitchen, very well kept bathroom, and a very spacious alcove. Parking is not included but super easy in this neighborhood. Close proximity to the #5 train/Bx12 Bus and steps away from Jacobi Hospital. All utilities Included",APARTMENT,1168 S Pelham Pkwy,,Bronx,NY,10461,1,1,,1000,1940,2,2000,2024-04-26,530500,2004-05-21,,2,40.856881,-73.854241,"Pelham Parkway, East Bronx",Bronx,36005,,,,Alan Berrios,AB3 Group,,Nyc Geog District #11 - Bronx,http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m3503145038od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m3503145038od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m647503604od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m2797767331od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m961356258od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m3534057448od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m4236363298od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m2546180669od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m3986861810od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m3442431219od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m3808457087od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m2774284053od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m2843648406od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/5735f6aeca5d43d85ee74b535c5110bdl-m4259595602od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M9750630375?listing_status=rental,UCNY,1562995071750831265,FOR_RENT,"Total household income should be approx. $100k. Excellent Credit/FICO required. Welcome to this modern, landmarked home in Mott Haven's Historic district. This 1-bedroom, 1-bathroom residence offers a stylish living space with an open layout, a sleek kitchen, and plenty of natural light. The queen sized bedroom provides ample closet space, while the well-appointed bathroom features modern fixtures. In-unit washer and dryer and central a/c! Located in a vibrant neighborhood with dining and entertainment options like Lit Bar, Beatstro, Chocobar, Charlie's and many more. This home is perfect for urban living. Plus, it's just one block away from the 6 train, providing a quick 15-minute commute to Grand Central Terminal. Don't miss outschedule a showing today!",TOWNHOMES,299  Alexander Ave,Unit 2S,Bronx,NY,10454,1,1,,,1899,2,2590,2024-04-26,,,,,40.811378,-73.924522,"South Bronx, West Bronx, Mott Haven",Bronx,36005,,,,Jason Christie,Compass,(212) 913-9058,"New York City Geographic District # 7, FAMILY LIFE ACADEMY CHARTER SCHOOL II, FAMILY LIFE ACADEMY CHARTER SCHOOL III, SOUTH BRONX CLASSICAL CHARTER SCHOOL II",http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m1783535613od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m1783535613od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m632939900od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m4121051432od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m2124724952od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m1868915450od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m1092790736od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m2787399880od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m3589152135od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m3214965932od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m3191407356od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m2277599846od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m68535257od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/a39ab428ce2d903da86f36d5612c61dcl-m3346112860od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M9125584131?listing_status=rental,AVAL,61067117,FOR_RENT,"Amazing 2 bedroom, 1 bathroom house in The Bronx. Utilities included. Pet Deposit required. Date Available: May 1st 2024. $2, 650/month rent. $2, 650 security deposit required. Please submit the form on this page or contact Eva Bagnan to learn more. This property is managed by a responsible landlord using Avail landlord software.",SINGLE_FAMILY,Pelham Bay Park,,Bronx,NY,10475,2,1,,,,2,2650,2024-04-26,,,,,,,,Bronx,,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/M9413428578?listing_status=rental,RLXB,4dd16640-99eb-11e8-a4aa-1866da728d6d,FOR_RENT,,APARTMENT,1737-39  Pilgrim Ave,,Bronx,NY,10461,,,,,,2,,2024-04-26,,,,,40.846397,-73.833801,"Pelham Bay, East Bronx",Bronx,36005,,,,,,,"Icahn Charter School 4, Icahn Charter School 5, New York City Geographic District # 8, Icahn Charter School 3",,
https://www.realtor.com/realestateandhomes-detail/M9096692472?listing_status=rental,OLNY,2063894,FOR_RENT,"Luxury 2 Bedroom 2 Bathroom Now Available in Mott HavenNow Leasing smartly designed and effortlessly livable 1-, 2-, and 3-Bedroom residences.Step into luxury living with our exquisitely designed residences boasting one, two, and three bedrooms. Each space is a modern canvas flooded with natural light, adorned with contemporary textures and finishes to create a haven of sophistication. Indulge in our art-filled lobby, a stunning prelude to the elegance awaiting within. Ascend to our landscaped rooftop retreat, where sweeping city vistas offer the perfect backdrop to your urban lifestyle. Experience living at its finest, where every detail speaks to refined taste and unparalleled comfort.Unit Features:-Washer/Dryer in unit -Modern Finishes-Stainless Steel Appliances-DishwasherBuilding Features:-Full Time Concierge -Rooftop Lounge-Indoor Lounge-Media Room-Event & Dining Space -Co-working Space-Outdoor Courtyard-Curated Art Gallery/Lobby-Fitness Center-Pet SpaNeighborhood:Discover the vibrant heart of New York City's Mott Haven neighborhood, where history meets modernity in perfect harmony. Nestled in the Bronx, Mott Haven invites you to explore its rich cultural tapestry and diverse community.With a rich history and an eye on the future, Mott Haven is a little neighborhood with an oversized reputation. Only 20 minutes from Midtown. Mott Haven enjoys some of the best subway service in the city, with the 4, 5, 6 and 2 trains. Mott Haven welcomes you with open arms to experience the true essence of New York City living. Photo, video and 3D tour are for illustrative purposes and may not reflect the exact unit",SINGLE_FAMILY,2413  3rd Ave,Apt 408,Bronx,NY,10451,2,2,,,2023,3,4165,2024-04-25,,,,,40.808674,-73.93148,"Mott Haven, South Bronx, West Bronx",Bronx,36005,,0,,,MNS,(718) 222-0211,"South Bronx Charter School-Inter Cultures And Arts, Harlem Children's Zone Promise Academy Ii Charter School, Harlem Success Academy Charter School 2, New York City Geographic District # 7, Nyc Special Schools - District 75",http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m3846222048od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m3846222048od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m4158738214od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m134926807od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m2541533181od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m1168089304od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m1654784615od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m283351456od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m2867199861od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m3699440827od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m1361590161od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m3039699626od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/bd2a5422d188f2daf11064ea51914444l-m3170582852od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M9310812180?listing_status=rental,STNY,11273228,FOR_RENT,"ATTENTION: I will NOT REPLY to requests that don't STATE - DATES/ MONTHS - REQUESTING SHORT TERM HOUSING. PLS READ THE DESCRIPTION - Short term rental 2 months minimum FULLY FURNISHED - LOVINGLY RESTORED FLOOR THROUGH Prewar Convertible 2 bedroom in a Mint townhouse! Features: Bay windows Polished Original Hardwood floors and Rich Mahogany Crown molding and preserved details throughout Vaulted ceiling IN UNIT WASHER/DRYER Large Windowed kitchen with new appliances including a DISHWASHER and MICROWAVE High ceilings compliment this expansive and exquisite beauty Pristine white, gut renovated bath with full tub and shower 2 Original Decorative Fireplaces Deep closets and overhead storage Kindly email for a tour of this AMAZING OPPORTUNITY! PLEASE Note: No pets will be considered NO SMOKERS - Utilities included - Tenant responsible for utilities overage charges if any should they exceed $150.00",MULTI_FAMILY,753  Beck St,Unit 2,Bronx,NY,10455,1,1,,850,,2,2500,2024-04-26,,,,3,40.816326,-73.899017,"West Bronx, Longwood",Bronx,36005,,0,,Crystal L Green,Oxford Property Group,(212) 300-6412,"SOUTH BRONX EARLY COLLEGE ACADEMY CHARTER SCHOOL, Girls Preparatory Charter School Of The Bronx, New York City Geographic District # 8, Nyc Special Schools - District 75",http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m3587144371od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m3587144371od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m277523652od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m4085229065od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m3223076545od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m1450060209od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m1620539984od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m3585612471od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m994316960od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m4084629428od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m3940823685od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m2316509456od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m2675469491od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m24988111od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m3577221654od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m4250974851od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m1352461514od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m475891656od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m1087161279od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m3109543571od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m2288390589od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/75897a42521a2c26dc7ac35dffdbba59l-m1352461514od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M4945321059?listing_status=rental,LINY,H6303557,FOR_RENT,"Last Condo remaining in this gated community! For Sale or For Rent ($3500 per month) Newly renovated 2 bedroom and 2 full bath townhouse located in a secured gated community. Superb amenities include pool, gym, children playroom, backyard BBQ, billiard table, ping pond table and a lounge area. New York City Ferry is 2 minute walk and takes you the City of New York Manhattan. Live in tranquility and enjoy quality of life.",CONDOS,112  Sunset Blvd,Unit 11112,Bronx,NY,10473,2,2,,972,1996,1,3500,2024-04-27,250000,2022-06-23,,4,40.806515,-73.853434,"Harding Park, East Bronx, Clason Point",Bronx,36005,,600,,Peter Chen,Houlihan Lawrence Commercial,(914) 798-4900,"Grand Concourse Academy Charter School, New York City Geographic District # 8",http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m3039111211od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m3039111211od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m761755254od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m1092311322od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m319793927od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m1526927314od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m228260949od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m592350616od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m1554705399od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m3780116758od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m1027492535od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m1367307341od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m4045102422od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m1964770328od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m525166669od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m1353444248od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m3745773640od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m1987694878od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m2288493953od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m3421821032od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m800815853od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m3250068693od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m3786259886od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m2336423926od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m2873942788od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m3692728928od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m3476368603od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/54d49ea20a3fb6233b1dab998e5fb31bl-m998224935od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M4649519477?listing_status=rental,LINY,H6303165,FOR_RENT,"3 bedroom rental in the Soundview area of the Bronx. Near Soundview Ferry and MTA Buses Bx27, and Bx39. Close to shops, shopping centers, grocery stores, and supermarkets. Street parking available. Landlord requires credit 700+ and minimum income of $150, 000 per year. Tenant responsible for 1 month security Deposit, 1st month rent, and Broker fee at lease signing. No pets/No smoking.",MULTI_FAMILY,1813  Patterson Ave,Unit 3RD,Bronx,NY,10473,3,1,,2550,1965,3,3777,2024-04-25,,,1934,1,40.813115,-73.861464,"East Bronx, Clason Point, Harding Park",Bronx,36005,3,0,,Saulo Espaillat,COMPASS,(914) 337-0070,"Grand Concourse Academy Charter School, New York City Geographic District # 8",http://ap.rdcpix.com/983421c556bd3795df435357f967111al-m256782044od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/983421c556bd3795df435357f967111al-m256782044od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/983421c556bd3795df435357f967111al-m3992839113od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/983421c556bd3795df435357f967111al-m4073168080od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/983421c556bd3795df435357f967111al-m441457534od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/983421c556bd3795df435357f967111al-m2620688960od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/983421c556bd3795df435357f967111al-m3654297303od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/983421c556bd3795df435357f967111al-m2317033074od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/983421c556bd3795df435357f967111al-m70804523od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M9809572865?listing_status=rental,OLNY,2085573,FOR_RENT,"Luxury 1 Bedroom Now Available in Mott HavenNow Leasing smartly designed and effortlessly livable 1-, 2-, and 3-Bedroom residences.Step into luxury living with our exquisitely designed residences boasting one, two, and three bedrooms. Each space is a modern canvas flooded with natural light, adorned with contemporary textures and finishes to create a haven of sophistication. Indulge in our art-filled lobby, a stunning prelude to the elegance awaiting within. Ascend to our landscaped rooftop retreat, where sweeping city vistas offer the perfect backdrop to your urban lifestyle. Experience living at its finest, where every detail speaks to refined taste and unparalleled comfort.Unit Features:-Washer/Dryer in unit -Modern Finishes-Stainless Steel Appliances-DishwasherBuilding Features:-Full Time Concierge -Rooftop Lounge-Indoor Lounge-Media Room-Event & Dining Space -Co-working Space-Outdoor Courtyard-Curated Art Gallery/Lobby-Fitness Center-Pet SpaNeighborhood:Discover the vibrant heart of New York City's Mott Haven neighborhood, where history meets modernity in perfect harmony. Nestled in the Bronx, Mott Haven invites you to explore its rich cultural tapestry and diverse community.With a rich history and an eye on the future, Mott Haven is a little neighborhood with an oversized reputation. Only 20 minutes from Midtown. Mott Haven enjoys some of the best subway service in the city, with the 4, 5, 6 and 2 trains. Mott Haven welcomes you with open arms to experience the true essence of New York City living. Photo, video and 3D tour are for illustrative purposes and may not reflect the exact unit",SINGLE_FAMILY,2413  3rd Ave,Apt 1208,Bronx,NY,10451,1,1,,,2023,3,3420,2024-04-25,,,,,40.808674,-73.93148,"South Bronx, West Bronx, Mott Haven",Bronx,36005,,0,,Veronika Khen,MNS,(718) 222-0211,"South Bronx Charter School-Inter Cultures And Arts, Harlem Children's Zone Promise Academy Ii Charter School, Harlem Success Academy Charter School 2, New York City Geographic District # 7, Nyc Special Schools - District 75",http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m3846222048od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m3846222048od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m4158738214od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m134926807od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m2541533181od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m1168089304od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m1654784615od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m283351456od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m2867199861od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m3699440827od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m1361590161od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m3039699626od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/cd2a49fae141d524df282771767b87efl-m3170582852od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/M9083798804?listing_status=rental,OLNY,2059799,FOR_RENT,"Luxury 3 Bedroom 2 Bathroom Now Available in Mott HavenNow Leasing smartly designed and effortlessly livable 1-, 2-, and 3-Bedroom residences.Step into luxury living with our exquisitely designed residences boasting one, two, and three bedrooms. Each space is a modern canvas flooded with natural light, adorned with contemporary textures and finishes to create a haven of sophistication. Indulge in our art-filled lobby, a stunning prelude to the elegance awaiting within. Ascend to our landscaped rooftop retreat, where sweeping city vistas offer the perfect backdrop to your urban lifestyle. Experience living at its finest, where every detail speaks to refined taste and unparalleled comfort.Unit Features:-Washer/Dryer in unit -Modern Finishes-Stainless Steel Appliances-DishwasherBuilding Features:-Full Time Concierge -Rooftop Lounge-Indoor Lounge-Media Room-Event & Dining Space -Co-working Space-Outdoor Courtyard-Curated Art Gallery/Lobby-Fitness Center-Pet SpaNeighborhood:Discover the vibrant heart of New York City's Mott Haven neighborhood, where history meets modernity in perfect harmony. Nestled in the Bronx, Mott Haven invites you to explore its rich cultural tapestry and diverse community.With a rich history and an eye on the future, Mott Haven is a little neighborhood with an oversized reputation. Only 20 minutes from Midtown. Mott Haven enjoys some of the best subway service in the city, with the 4, 5, 6 and 2 trains. Mott Haven welcomes you with open arms to experience the true essence of New York City living. Photo, video and 3D tour are for illustrative purposes and may not reflect the exact unit",SINGLE_FAMILY,2413  3rd Ave,Apt 1107,Bronx,NY,10451,3,2,,,2023,3,5795,2024-04-25,,,,,40.808674,-73.93148,"Mott Haven, South Bronx, West Bronx",Bronx,36005,,0,,,MNS,(718) 222-0211,"South Bronx Charter School-Inter Cultures And Arts, Harlem Children's Zone Promise Academy Ii Charter School, Harlem Success Academy Charter School 2, New York City Geographic District # 7, Nyc Special Schools - District 75",http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m3846222048od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m3846222048od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m4158738214od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m134926807od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m2541533181od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m1168089304od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m1654784615od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m283351456od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m2867199861od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m3699440827od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m1361590161od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m3039699626od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/f8dd2e08029b1a5579ccb72eda59489fl-m3170582852od-w480_h360_x2.webp?w=1080&q=75"
