Section,Rank,Player,Team,Value
Points,1.,Cam Thomas,BKN,41
Points,2.,LeBron James,LAL,37
Points,3.,Anthony Davis,LAL,36
Points,4.,RJ Barrett,TOR,35
Points,4.,Jamal Murray,DEN,35
Rebounds,1.,Adama Sanogo,CHI,20
Rebounds,2.,Rudy Gobert,MIN,19
Rebounds,3.,Jordan Goodwin,MEM,17
Rebounds,4.,Paolo Banchero,ORL,15
Rebounds,4.,Torrey Craig,CHI,15
Assists,1.,Jevon Carter,CHI,12
Assists,1.,Tyrese Haliburton,IND,12
Assists,1.,Nikola Jokic,DEN,12
Assists,4.,Jalen Brunson,NYK,11
Assists,4.,Payton Pritchard,BOS,11
Blocks,1.,Rudy Gobert,MIN,5
Blocks,2.,Chet Holmgren,OKC,3
Blocks,2.,Jared Rhoden,DET,3
Blocks,4.,Kyle Anderson,MIN,2
Blocks,4.,Dalano Banton,POR,2
Steals,1.,Zion Williamson,NOP,6
Steals,2.,Malachi Flynn,DET,4
Steals,2.,Jordan Goodwin,MEM,4
Steals,2.,Donovan Mitchell,CLE,4
Steals,2.,Scotty Pippen Jr.,MEM,4
Turnovers,1.,LeBron James,LAL,8
Turnovers,2.,Victor Wembanyama,SAS,7
Turnovers,3.,Stephen Curry,GSW,5
Turnovers,3.,Tyrese Haliburton,IND,5
Turnovers,3.,Trendon Watford,BKN,5
Three Pointers Made,1.,GG Jackson,MEM,7
Three Pointers Made,1.,CJ McCollum,NOP,7
Three Pointers Made,3.,Scoot Henderson,POR,6
Three Pointers Made,3.,Corey Kispert,WAS,6
Three Pointers Made,5.,Tyrese Maxey,PHI,5
Free Throws Made,1.,Anthony Davis,LAL,13
Free Throws Made,2.,Jake LaRavia,MEM,11
Free Throws Made,3.,Shai Gilgeous-Alexander,OKC,9
Free Throws Made,4.,RJ Barrett,TOR,8
Free Throws Made,4.,Joel Embiid,PHI,8
Fantasy Points,1.,Anthony Davis,LAL,65.3
Fantasy Points,2.,Rudy Gobert,MIN,64.8
Fantasy Points,3.,Jordan Goodwin,MEM,57.9
Fantasy Points,3.,Victor Wembanyama,SAS,57.9
Fantasy Points,5.,Joel Embiid,PHI,57.1
